entry_time,exit_time,entry_price,exit_price,quantity,pnl,pnl_pct,duration_days
2015-04-20,2015-06-02,192.61128739756592,189.72,493,-1425.4046869999977,-1.501099668991912,43
2015-06-25,2015-08-05,197.081785002079,190.91,481,-2968.628585999995,-3.1315857028663907,41
2015-08-24,2016-01-21,203.85258564317184,220.15,454,7399.02611799999,7.994705735719987,150
2016-02-26,2016-05-17,225.73489118561488,243.68,431,7734.341898999987,7.949638941562398,81
2016-06-09,2016-10-03,259.478432562189,262.76,402,1319.1901100000073,1.2646783030895836,116
2016-11-22,2016-12-27,267.44929302040816,260.89,392,-2571.2428640000053,-2.4525370571488736,35
2017-03-16,2017-07-05,239.62632966824646,269.65,422,12669.988879999986,12.529370363148384,111
2017-09-12,2017-09-13,262.8485968148148,261.29,432,-673.3138239999898,-0.5929637189247994,1
2017-09-14,2017-10-04,259.8582454434389,267.55,442,3399.7555140000222,2.959980947856944,20
2017-12-19,2018-08-28,276.3099428148148,389.56,432,48924.024704,40.98660223062849,252
2018-09-12,2018-10-23,417.8743082525252,394.76,396,-9153.266067999994,-5.5314020977229035,41
2018-11-20,2019-02-22,434.126216988764,469.8,356,12699.866752000025,8.217375872547073,94
2019-03-13,2019-08-06,494.73239197660814,571.14,342,26131.401944000012,15.444229903386741,146
2019-09-20,2020-03-13,588.8619759752322,609.99,323,6824.351759999999,3.5879416377287754,175
2020-05-05,2020-12-14,657.0789904736843,901.96,304,74443.826896,37.26812347930688,223
2021-03-26,2021-11-17,884.3317243300331,1174.67,303,87972.49752799998,32.83137624514447,236
2022-02-21,2022-05-31,1155.3687929738562,1144.44,306,-3344.2106499999854,-0.9459138104055964,99
2022-06-20,2022-09-28,1214.614897275862,1229.53,290,4325.379790000026,1.2279696846786203,100
2022-11-09,2022-12-06,1270.5406381223022,1246.93,278,-6563.757397999993,-1.8583142808557218,27
2022-12-20,2023-01-18,1302.4040005849058,1258.07,265,-11748.510155000058,-3.404012930319289,29
2023-03-13,2023-04-25,1309.5247704176247,1264.69,261,-11701.875079000038,-3.423743592366435,43
2023-05-09,2023-09-18,1317.46568556917,1331.25,253,3487.431550999967,1.04627502498289,132
2023-10-31,2024-02-02,1354.439562231405,1513.42,242,38473.26594,11.737728445164342,94
2024-04-23,2024-11-07,1514.9055566326529,1681.84,245,40898.93862500003,11.019462080422393,198
